Date,Open,High,Low,Close,Adj Close,Volume
2018-12-01,7.700000,7.700000,6.276000,6.620000,6.620000,48878000
2019-01-01,6.546000,7.868000,6.486000,7.448000,7.448000,40932000
2019-02-01,7.048000,7.346000,6.404000,6.850000,6.850000,62919500
2019-03-01,6.926000,7.270000,6.612000,7.174000,7.174000,38595500
2019-04-01,7.216000,8.836000,7.162000,8.616000,8.616000,61363500
2019-05-01,8.604000,8.986000,8.208000,8.828000,8.828000,42505500
2019-06-01,8.882000,9.196000,8.562000,9.154000,9.154000,31032000
2019-07-01,9.300000,9.736000,8.974000,9.238000,9.238000,40633000
2019-08-01,9.476000,9.686000,9.024000,9.450000,9.450000,26912500
2019-09-01,9.566000,9.980000,9.240000,9.320000,9.320000,30419000
2019-10-01,9.466000,9.606000,8.412000,9.304000,9.304000,40054000
2019-11-01,9.650000,9.980000,9.476000,9.678000,9.678000,57207500
2019-12-01,9.876000,10.648000,9.836000,9.980000,9.980000,27422000
2020-01-01,10.136000,10.164000,9.150000,9.180000,9.180000,27804500
2020-02-01,9.228000,9.366000,8.152000,8.396000,8.396000,36573500
2020-03-01,8.402000,9.750000,7.164000,9.656000,9.656000,49299500
2020-04-01,9.524000,11.184000,9.522000,10.288000,10.288000,52930000
2020-05-01,10.364000,10.968000,10.100000,10.168000,10.168000,32688000
2020-06-01,10.260000,11.790000,10.086000,11.180000,11.180000,50023000
2020-07-01,11.116000,12.000000,10.944000,11.002000,11.002000,19664000
2020-08-01,11.098000,13.740000,11.000000,13.474000,13.474000,66592500
2020-09-01,13.844000,14.564000,13.204000,14.180000,14.180000,79571000
2020-10-01,14.232000,14.282000,13.000000,13.546000,13.546000,31045500
2020-11-01,13.676000,14.750000,12.322000,14.190000,14.190000,86491000
2020-12-01,13.722000,16.510000,13.412000,16.104000,16.104000,41528500
2021-01-01,15.960000,16.176001,14.400000,14.454000,14.454000,45219500
2021-02-01,15.210000,16.400000,14.542000,15.424000,15.424000,54326500
2021-03-01,15.374000,15.478000,13.626000,14.160000,14.160000,64411500
2021-04-01,14.208000,15.202000,14.002000,14.378000,14.378000,35274000
2021-05-01,14.464000,15.590000,13.572000,15.464000,15.464000,62077500
2021-06-01,15.180000,15.778000,14.122000,14.506000,14.506000,29444500
2021-07-01,14.452000,15.104000,12.802000,12.850000,12.850000,55383000
2021-08-01,13.024000,13.098000,11.344000,12.016000,12.016000,61781000
2021-09-01,12.108000,12.750000,11.610000,11.850000,11.850000,60415000
2021-10-01,10.956000,11.498000,10.678000,11.050000,11.050000,45683000
2021-11-01,11.144000,11.414000,10.590000,11.016000,11.016000,37992500
2021-12-01,11.200000,12.274000,11.032000,11.674000,11.674000,41773500
2022-01-01,11.800000,12.356000,11.310000,12.220000,12.220000,48205500
2022-02-01,12.286000,12.896000,12.170000,12.714000,12.714000,31104000
2022-03-01,12.594000,13.650000,11.988000,12.582000,12.582000,41019000
2022-04-01,12.880000,13.136000,11.342000,11.396000,11.396000,27693000
2022-05-01,11.114000,11.774000,10.488000,11.120000,11.120000,45670000
2022-06-01,11.216000,11.328000,10.382000,10.764000,10.764000,29782000
2022-07-01,10.690000,11.346000,10.430000,11.200000,11.200000,20900500
2022-08-01,11.002000,11.250000,10.200000,10.220000,10.220000,28770500
2022-09-01,10.200000,10.906000,9.952000,10.194000,10.194000,37669000
2022-10-01,9.870000,10.900000,9.770000,10.120000,10.120000,23053400
2022-11-01,10.210000,10.850000,9.760000,10.730000,10.730000,23910000
2022-12-01,10.560000,10.700000,10.000000,10.420000,10.420000,21485200
2023-01-01,10.420000,10.920000,10.200000,10.770000,10.770000,20208800
2023-02-01,10.690000,10.910000,9.300000,9.330000,9.330000,23063500
2023-03-01,9.370000,9.820000,9.260000,9.690000,9.690000,20434500
2023-04-01,9.650000,10.610000,9.610000,10.560000,10.560000,22586400
2023-05-01,10.430000,11.000000,10.210000,10.570000,10.570000,40585200
2023-06-01,10.660000,11.990000,10.650000,11.380000,11.380000,22519900
2023-07-01,11.300000,11.650000,10.910000,11.280000,11.280000,18521300
2023-08-01,11.130000,11.510000,10.300000,10.670000,10.670000,20031000
2023-09-01,10.760000,10.940000,10.200000,10.350000,10.350000,19004300
2023-10-01,10.200000,10.640000,10.030000,10.320000,10.320000,15933400
2023-11-01,10.350000,11.870000,10.350000,11.400000,11.400000,9107200
2023-11-10,11.370000,11.450000,11.270000,11.395000,11.395000,784493
